,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
2155,8.42,-0.292392,-1.629777,0.2506134,16,9.89,105.2613164,356.1113171,4962.73,1296.982397,0.002684,0.1551601,4.75e-05,-0.3955356,0.0344624,-0.75,26.8,22.6,31.0
1344,8.62,0.7164406,0.1797531,0.1347751,34,11.53,615.3670479,260.3767699,3004.56,291.2652942,0.0030505,0.2823566,0.000908,-0.7510313,0.9893795,0.24,27.5,23.5,32.1
1735,9.32,-1.061557,-0.2207325,-1.334324,6,13.09,279.5110039,863.7826816,4839.92,1381.559163,0.0058639,0.1662157,9.84e-05,-0.5883306,-0.3372307,-1.13,29.2,25.4,33.0
406,13.2,-0.4268555,-0.3893548,-0.0742373,8,15.09,71.1398136,499.0341876,1217.59,98.141103,0.0207241,0.3699501,0.000366,0.386498,-0.3186463,-0.22,30.3,26.2,34.5
899,11.56,0.0100243,0.3285328,-0.5281861,22,14.75,183.3444455,810.781446,5847.56,550.901332,0.0175524,0.3722792,0.000277,0.8058283,1.07411,0.42,30.7,27.1,34.8
2142,6.01,-0.3011903,-0.8845831,0.5321229,18,6.26,7.1143904,137.3940451,1525.31,103.279523,0.0081862,0.1773067,0.00014,-0.4164363,0.9020167,-0.21,25.6,21.5,30.1
2227,9.89,-0.7828109,-0.0872545,-0.1436137,8,6.8,373.2307523,1577.799396,6501.56,790.0966949,0.0208268,0.2513269,0.000339,0.155654,0.6163583,-0.13,27.5,23.6,32.0
317,10.9,-1.821654,0.7303112,0.1942085,2,12.24,23.0263051,145.0296626,1576.29,19.7250648,0.0191652,0.3394341,0.000624,0.3639337,-1.564692,-0.32,25.8,22.4,29.4
1754,10.72,-0.6717928,-0.7245619,0.1637408,7,20.58,173.9757077,727.8185956,4436.58,924.734454,0.0158349,0.1925054,0.0004,0.2139541,-0.417026,-0.41,31.1,27.3,35.1
80,6.46,0.7650616,0.2213009,0.7511365,36,11.53,5.0078077,14.1349172,110.86,29.3463975,0.0175251,0.1849682,0.000461,-0.1785471,0.9824299,0.69,26.8,23.6,29.7
